Ravenclaw,Slytherin,Gryffindor,Hufflepuff,mean,std
-2.2312499999748983e-11,-3.118749999964915e-11,-2.956249999966743e-11,-1.6937499999809454e-11,0.0,0.0
-2.7384999233588952e-11,-1.9132487026123592e-11,1.7781597878128877e-11,2.8735888381583684e-11,39.79713089016475,514.904736429893
2.0338243321278334e-11,-2.112503964444112e-11,-2.2947371624941735e-11,2.3734167948104537e-11,1.1410195296768044,5.163925073157659
2.7427475836551133e-11,1.9121625986895943e-11,-1.772880032398028e-11,-2.8820301499466785e-11,-0.3878634974417863,5.16040249138473
1.2096471096568582e-11,-3.532152178891238e-11,8.54441526062685e-12,1.468063543171696e-11,3.153909673286355,4.103030881423507
3.979710272352372e-11,-9.777896200627957e-12,-1.140903543352575e-11,-1.861017108937002e-11,-224.58991486346417,480.8423325139229
2.645112529518998e-11,-1.6369667779071526e-11,1.9258462439529764e-11,-2.93399199556482e-11,495.7479700591579,105.08265387187238
1.2080975489289276e-11,8.410819406100575e-12,-3.5530955370383665e-11,1.5039160474993836e-11,2.963094615116594,4.364496027131785
1.254984074359687e-11,9.086180469203927e-12,-3.618815763756605e-11,1.4552136424765115e-11,1030.0969463871304,43.63982882393576
3.876432987111895e-11,-1.3323345606426674e-11,-2.177753738527773e-11,-3.663446879414458e-12,-243.3744090125,8.780894559533115
-7.358044003188315e-12,-1.7786803466120712e-11,3.4983440856004374e-11,-9.838593386695342e-12,21.9580125,97.60108742375692
